anime_id;Name;Score;Genres;Type;Premiered;Status;Studios
31387;Aru Hi Inu no Kuni kara Tegami ga Kite;6.53;Drama;OVA;;Finished Airing;UNKNOWN
31389;Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day;7.46;Action, Fantasy, Supernatural;Special;;Finished Airing;ufotable
31397;Mesu Kyoushi 4: Kegasareta Kyoudan;6.86;Hentai;OVA;;Finished Airing;PoRO
31400;Rinkan Biyaku Chuudoku: Nigeba Nashi! 1428-nin no Seito Zenin ni Sex Sareru Reijou Sayaka;6.54;Hentai;OVA;;Finished Airing;BreakBottle
31401;Creamy Pie;6.4;Hentai;OVA;;Finished Airing;Studio 9 Maiami
31402;Soul Worker: Your Destiny Awaits;5.65;Action, Fantasy, Sci-Fi;ONA;;Finished Airing;Larx Entertainment
31403;Colosseum no Senki: Another Story;5.85;Fantasy, Hentai;OVA;;Finished Airing;Office Takeout
31404;Netoge no Yome wa Onnanoko ja Nai to Omotta?;6.71;Comedy, Romance, Ecchi;TV;2016.4;Finished Airing;Project No.9
31405;Joker Game;7.03;Drama;TV;2016.4;Finished Airing;Production I.G
31410;Mini Van 2nd Season;6.01;Comedy, Slice of Life;TV;2015.2;Finished Airing;DLE
31414;Nijiiro Days;7.27;Comedy, Romance;TV;2016.3;Finished Airing;Production Reed
31417;Binan Koukou Chikyuu Bouei-bu LOVE! LOVE!;7.02;Comedy;TV;2016.1;Finished Airing;Studio Comet
31418;KanColle Movie;7.5;Action, Drama, Sci-Fi;Movie;;Finished Airing;Diomedéa
31422;Minami Kamakura Koukou Joshi Jitensha-bu;6.33;Sports;TV;2017.3;Finished Airing;J.C.Staff, A.C.G.T.
31424;Inyouchuu Etsu Special;5.79;Horror, Supernatural, Hentai;Special;;Finished Airing;Studio Fantasia
31426;Urawa no Usagi-chan: Natsu no Hi to, Bushitsu to, Tomodachi to;5.38;Comedy;Special;;Finished Airing;A-Real
31427;Zinba;6.5;Action, Adventure, Comedy;TV;2013.1;Finished Airing;Alpha Animation
31430;Terra Formars: Revenge;6.65;Action, Horror, Sci-Fi;TV;2016.4;Finished Airing;TYO Animations, LIDENFILMS
31433;Ginga Eiyuu Densetsu: Die Neue These - Kaikou;7.76;Drama, Sci-Fi;TV;2018.4;Finished Airing;Production I.G
31436;Danchi Tomoo: Natsuyasumi no Shukudai wa Owatta no ka yo? Tomoo;UNKNOWN;Comedy;Special;;Finished Airing;UNKNOWN
31439;Wagamama High Spec;5.38;Comedy;TV;2016.4;Finished Airing;AXsiZ
31440;Teekyuu 6;6.54;Comedy;TV;2015.2;Finished Airing;Millepensee
31442;Musaigen no Phantom World;6.86;Action, Comedy, Fantasy, Ecchi;TV;2016.3;Finished Airing;Kyoto Animation
31448;Yoku Wakaru Mahouka! - Saiseitte Nani?;6.39;Comedy;Special;;Finished Airing;UNKNOWN
31450;Sol;4.62;Avant Garde;Music;;Finished Airing;UNKNOWN
31452;Norn9: Norn+Nonet;6.55;Adventure, Fantasy, Romance, Sci-Fi;TV;2016.3;Finished Airing;Kinema Citrus, Orange
31454;Gundam: G no Reconguista - From the Past to the Future;5.85;Action, Sci-Fi;Special;;Finished Airing;Sunrise
31456;Code:Realize - Sousei no Himegimi;6.66;Fantasy, Romance;TV;2017.2;Finished Airing;M.S.C
